changedFrames,fingerprint,iterations,medianUs,mode,p95Us,pair,phase_build,phase_coverage,phase_layout,phase_paint,phase_semanticDiff,phase_semanticEncode,phase_semanticTree,phase_semantics,scenario,surface,variant
160,1359462507,160,397,replace-subtree,512,1,64,24,2,8,5,106,62,201,board-16-keyed-false,structured,leaf
160,1359462507,160,105,one-label,151,1,20,12,0,6,4,4,29,52,board-16-keyed-true,structured,leaf
160,1359462507,160,256,all-labels,326,1,29,24,0,7,5,56,30,117,board-16-keyed-true,structured,leaf
160,1359462507,160,262,reverse,331,1,21,23,0,7,5,75,29,134,board-16-keyed-true,structured,leaf
160,1359462507,160,339,replace-subtree,440,1,78,24,2,8,5,79,31,141,board-16-keyed-true,structured,leaf
160,251641503,160,354,one-label,488,1,18,15,0,37,17,5,228,268,board-64-keyed-false,structured,leaf
160,251641503,160,878,all-labels,1079,1,54,46,0,38,21,255,236,567,board-64-keyed-false,structured,leaf
160,251641503,160,893,reverse,1116,1,56,46,3,40,21,258,238,568,board-64-keyed-false,structured,leaf
160,251641503,160,1568,replace-subtree,1798,1,531,46,7,43,23,414,245,736,board-64-keyed-false,structured,leaf
160,251641503,160,304,one-label,417,1,79,16,0,38,17,5,114,154,board-64-keyed-true,structured,leaf
160,251641503,160,783,all-labels,958,1,115,47,0,40,20,214,120,405,board-64-keyed-true,structured,leaf
160,251641503,160,794,reverse,992,1,85,47,2,39,21,257,115,445,board-64-keyed-true,structured,leaf
160,251641503,160,1382,replace-subtree,1667,1,587,47,7,43,23,304,125,507,board-64-keyed-true,structured,leaf
160,251641503,160,1276,one-label,1502,1,75,25,0,135,70,6,919,1024,board-256-keyed-false,structured,leaf
160,251641503,160,2925,all-labels,3240,1,246,59,0,141,100,1088,977,2284,board-256-keyed-false,structured,leaf
160,251641503,160,2997,reverse,3570,1,257,61,26,148,103,1107,1003,2318,board-256-keyed-false,structured,leaf
160,251641503,160,10562,replace-subtree,11315,1,6922,60,42,161,106,1831,1036,3108,board-256-keyed-false,structured,leaf
160,251641503,160,1038,one-label,1367,1,308,25,0,132,67,6,453,556,board-256-keyed-true,structured,leaf
160,251641503,160,2338,all-labels,2749,1,467,57,0,138,86,822,469,1477,board-256-keyed-true,structured,leaf
160,251641503,160,1800,reverse,2161,1,344,57,9,134,77,454,459,1061,board-256-keyed-true,structured,leaf
160,251641503,160,9788,replace-subtree,12714,1,7230,61,44,164,108,1296,515,2019,board-256-keyed-true,structured,leaf
160,1359462507,160,121,one-label,191,1,6,12,0,6,4,5,59,82,board-16-keyed-false,structured,json
160,1359462507,160,289,all-labels,384,1,14,24,0,7,5,68,63,161,board-16-keyed-false,structured,json
160,1359462507,160,286,reverse,397,1,15,24,1,7,5,67,62,161,board-16-keyed-false,structured,json
160,1359462507,160,396,replace-subtree,554,1,62,24,2,8,5,105,63,199,board-16-keyed-false,structured,json
160,1359462507,160,108,one-label,168,1,20,12,0,6,4,5,31,54,board-16-keyed-true,structured,json
160,1359462507,160,255,all-labels,326,1,28,24,0,7,5,56,32,119,board-16-keyed-true,structured,json
160,1359462507,160,270,reverse,345,1,21,24,0,7,5,74,31,138,board-16-keyed-true,structured,json
160,1359462507,160,330,replace-subtree,409,1,74,24,2,8,4,76,33,138,board-16-keyed-true,structured,json
160,251641503,160,360,one-label,486,1,18,15,0,37,17,5,234,274,board-64-keyed-false,structured,json
160,251641503,160,893,all-labels,1049,1,56,47,0,39,21,257,242,575,board-64-keyed-false,structured,json
160,251641503,160,904,reverse,1100,1,57,47,4,41,21,259,245,579,board-64-keyed-false,structured,json
160,251641503,160,1570,replace-subtree,1888,1,528,47,7,43,22,416,254,749,board-64-keyed-false,structured,json
160,251641503,160,297,one-label,403,1,75,16,0,36,17,4,118,157,board-64-keyed-true,structured,json
160,251641503,160,805,all-labels,1014,1,116,47,0,39,22,216,129,419,board-64-keyed-true,structured,json
160,251641503,160,807,reverse,1027,1,85,46,2,39,23,260,124,460,board-64-keyed-true,structured,json
160,251641503,160,1400,replace-subtree,1705,1,585,46,7,44,24,305,132,513,board-64-keyed-true,structured,json
160,251641503,160,1333,one-label,1598,1,76,25,0,135,70,7,967,1078,board-256-keyed-false,structured,json
160,251641503,160,2928,all-labels,3302,1,239,59,0,141,97,1074,1015,2300,board-256-keyed-false,structured,json
160,251641503,160,3000,reverse,3401,1,256,59,25,147,100,1092,1021,2323,board-256-keyed-false,structured,json
160,251641503,160,10532,replace-subtree,11330,1,6867,61,44,164,109,1836,1063,3133,board-256-keyed-false,structured,json
160,251641503,160,1057,one-label,1385,1,303,25,0,131,72,5,475,582,board-256-keyed-true,structured,json
160,251641503,160,2373,all-labels,2797,1,468,57,0,139,93,817,502,1519,board-256-keyed-true,structured,json
160,251641503,160,1831,reverse,2214,1,347,58,10,137,81,452,485,1098,board-256-keyed-true,structured,json
160,251641503,160,9659,replace-subtree,10589,1,7128,59,42,161,108,1261,537,2001,board-256-keyed-true,structured,json
160,1359462507,160,122,one-label,231,2,5,12,0,6,4,5,60,83,board-16-keyed-false,structured,json
