scenario,mode,iterations,medianUs,p95Us,changedFrames,surface,fingerprint,pair,variant,phase_buildUs,phase_layoutUs,phase_paintUs,phase_semanticsUs,phase_semanticTreeUs,phase_coverageUs,phase_semanticDiffUs,phase_semanticEncodeUs
board-64-keyed-true,replace-subtree,160,657,897,160,terminal,251641503,2,after,577,7,43,0,0,0,0,0
board-256-keyed-false,one-label,160,227,312,160,terminal,251641503,2,after,71,0,132,0,0,0,0,0
board-256-keyed-false,all-labels,160,376,475,160,terminal,251641503,2,after,214,0,134,0,0,0,0,0
board-256-keyed-false,reverse,160,408,521,160,terminal,251641503,2,after,216,23,135,0,0,0,0,0
board-256-keyed-false,replace-subtree,160,7115,7736,160,terminal,251641503,2,after,6837,43,159,0,0,0,0,0
board-256-keyed-true,one-label,160,460,724,160,terminal,251641503,2,after,304,0,129,0,0,0,0,0
board-256-keyed-true,all-labels,160,614,923,160,terminal,251641503,2,after,452,0,132,0,0,0,0,0
board-256-keyed-true,reverse,160,513,735,160,terminal,251641503,2,after,335,8,131,0,0,0,0,0
board-256-keyed-true,replace-subtree,160,7323,8436,160,terminal,251641503,2,after,7068,40,156,0,0,0,0,0
board-16-keyed-false,one-label,160,143,219,160,structured,1359462507,2,base,17,0,6,93,59,12,4,7
board-16-keyed-false,all-labels,160,684,796,160,structured,1359462507,2,base,212,0,7,331,62,25,5,92
board-16-keyed-false,reverse,160,730,867,160,structured,1359462507,2,base,208,1,55,329,63,24,5,93
board-16-keyed-false,replace-subtree,160,496,610,160,structured,1359462507,2,base,122,1,8,231,64,24,5,133
board-16-keyed-true,one-label,160,121,155,160,structured,1359462507,2,base,25,0,6,60,31,12,4,6
board-16-keyed-true,all-labels,160,411,506,160,structured,1359462507,2,base,104,0,7,197,31,24,5,80
board-16-keyed-true,reverse,160,384,488,160,structured,1359462507,2,base,27,0,34,218,31,24,5,102
board-16-keyed-true,replace-subtree,160,432,556,160,structured,1359462507,2,base,145,1,8,167,33,24,5,103
board-64-keyed-false,one-label,160,395,526,160,structured,251641503,2,base,33,0,38,291,237,15,17,7
board-64-keyed-false,all-labels,160,2773,2998,160,structured,251641503,2,base,1108,0,42,1364,251,47,22,342
board-64-keyed-false,reverse,160,2838,3107,160,structured,251641503,2,base,1088,4,94,1382,249,48,22,342
board-64-keyed-false,replace-subtree,160,2566,2915,160,structured,251641503,2,base,1406,6,45,860,257,48,24,513
board-64-keyed-true,one-label,160,322,429,160,structured,251641503,2,base,82,0,37,168,121,16,17,6
board-64-keyed-true,all-labels,160,1452,1694,160,structured,251641503,2,base,437,0,40,720,125,48,21,294
board-64-keyed-true,reverse,160,1273,1484,160,structured,251641503,2,base,95,2,149,787,124,48,23,357
board-64-keyed-true,replace-subtree,160,2476,2927,160,structured,251641503,2,base,1552,6,46,620,135,48,24,401
board-256-keyed-false,one-label,160,1430,1720,160,structured,251641503,2,base,112,0,140,1127,993,26,71,9
board-256-keyed-false,all-labels,160,17156,20854,160,structured,251641503,2,base,8454,0,171,8276,1056,63,107,1323
board-256-keyed-false,reverse,160,17508,18370,160,structured,251641503,2,base,8384,45,580,8185,1048,63,111,1317
board-256-keyed-false,replace-subtree,160,24807,25936,160,structured,251641503,2,base,20799,48,171,3363,1049,60,95,2085
board-256-keyed-true,one-label,160,1090,1451,160,structured,251641503,2,base,312,0,133,595,483,26,70,7
board-256-keyed-true,all-labels,160,4976,5645,160,structured,251641503,2,base,1785,0,144,2734,494,60,93,1070
board-256-keyed-true,reverse,160,2404,2914,160,structured,251641503,2,base,353,10,274,1479,485,58,81,557
board-256-keyed-true,replace-subtree,160,24176,25710,160,structured,251641503,2,base,21314,50,172,2271,550,59,95,1537
board-16-keyed-false,one-label,160,125,226,160,structured,1359462507,2,after,6,0,6,86,61,12,4,7
board-16-keyed-false,all-labels,160,320,418,160,structured,1359462507,2,after,15,0,7,188,62,25,5,92
board-16-keyed-false,reverse,160,326,426,160,structured,1359462507,2,after,15,1,7,191,63,25,5,92
board-16-keyed-false,replace-subtree,160,418,545,160,structured,1359462507,2,after,62,2,8,226,63,24,5,130
board-16-keyed-true,one-label,160,105,153,160,structured,1359462507,2,after,19,0,6,54,30,12,4,6
board-16-keyed-true,all-labels,160,278,353,160,structured,1359462507,2,after,28,0,7,142,31,24,5,80
board-16-keyed-true,reverse,160,297,411,160,structured,1359462507,2,after,22,0,7,164,32,24,5,102
board-16-keyed-true,replace-subtree,160,373,501,160,structured,1359462507,2,after,78,2,8,171,34,24,5,106
board-64-keyed-false,one-label,160,364,488,160,structured,251641503,2,after,19,0,37,277,236,15,17,7
board-64-keyed-false,all-labels,160,972,1179,160,structured,251641503,2,after,56,0,38,655,244,47,21,334
board-64-keyed-false,reverse,160,981,1208,160,structured,251641503,2,after,56,3,39,656,244,47,21,334
board-64-keyed-false,replace-subtree,160,1629,1970,160,structured,251641503,2,after,512,7,42,812,249,47,22,488
board-64-keyed-true,one-label,160,303,423,160,structured,251641503,2,after,77,0,36,159,117,16,16,6
board-64-keyed-true,all-labels,160,850,1059,160,structured,251641503,2,after,113,0,38,476,122,47,19,285
board-64-keyed-true,reverse,160,901,1069,160,structured,251641503,2,after,87,2,40,540,123,47,22,342
board-64-keyed-true,replace-subtree,160,1479,1827,160,structured,251641503,2,after,580,7,43,591,130,47,21,383
board-256-keyed-false,one-label,160,1290,1491,160,structured,251641503,2,after,72,0,131,1044,939,24,68,8
board-256-keyed-false,all-labels,160,3141,3579,160,structured,251641503,2,after,232,0,142,2527,992,59,95,1294
board-256-keyed-false,reverse,160,3177,3662,160,structured,251641503,2,after,236,25,143,2523,997,59,96,1299
board-256-keyed-false,replace-subtree,160,10691,11401,160,structured,251641503,2,after,6757,38,156,3389,1028,61,108,2115
board-256-keyed-true,one-label,160,1060,1354,160,structured,251641503,2,after,310,0,129,579,475,24,71,7
board-256-keyed-true,all-labels,160,2654,3176,160,structured,251641503,2,after,477,0,137,1797,515,59,94,1079
board-256-keyed-true,reverse,160,1951,2442,160,structured,251641503,2,after,348,9,135,1202,484,57,78,556
board-256-keyed-true,replace-subtree,160,9832,10552,160,structured,251641503,2,after,7141,45,158,2190,525,58,104,1495
