scenario,mode,iterations,medianUs,p95Us,changedFrames,surface,fingerprint,pair,variant,phase_buildUs,phase_layoutUs,phase_paintUs,phase_semanticsUs,phase_semanticTreeUs,phase_coverageUs,phase_semanticDiffUs,phase_semanticEncodeUs
board-256-keyed-true,one-label,160,461,645,160,terminal,251641503,0,after,305,0,128,0,0,0,0,0
board-256-keyed-true,all-labels,160,617,880,160,terminal,251641503,0,after,448,0,134,0,0,0,0,0
board-256-keyed-true,reverse,160,513,802,160,terminal,251641503,0,after,335,8,131,0,0,0,0,0
board-256-keyed-true,replace-subtree,160,7486,8235,160,terminal,251641503,0,after,7223,47,162,0,0,0,0,0
board-16-keyed-false,one-label,160,145,237,160,structured,1359462507,0,base,17,0,7,93,60,12,4,7
board-16-keyed-false,all-labels,160,671,785,160,structured,1359462507,0,base,206,0,7,322,62,24,5,92
board-16-keyed-false,reverse,160,718,835,160,structured,1359462507,0,base,203,1,55,323,62,24,5,91
board-16-keyed-false,replace-subtree,160,491,605,160,structured,1359462507,0,base,120,1,8,233,64,24,5,132
board-16-keyed-true,one-label,160,120,148,160,structured,1359462507,0,base,25,0,6,60,31,13,4,6
board-16-keyed-true,all-labels,160,412,503,160,structured,1359462507,0,base,104,0,7,198,31,24,5,80
board-16-keyed-true,reverse,160,374,472,160,structured,1359462507,0,base,26,0,33,214,31,24,5,99
board-16-keyed-true,replace-subtree,160,432,535,160,structured,1359462507,0,base,144,1,8,168,33,24,5,103
board-64-keyed-false,one-label,160,400,529,160,structured,251641503,0,base,34,0,38,293,239,16,17,7
board-64-keyed-false,all-labels,160,2755,2985,160,structured,251641503,0,base,1095,0,43,1358,244,47,22,341
board-64-keyed-false,reverse,160,2876,3263,160,structured,251641503,0,base,1096,5,97,1392,248,49,24,351
board-64-keyed-false,replace-subtree,160,2576,2953,160,structured,251641503,0,base,1394,6,45,853,254,47,24,508
board-64-keyed-true,one-label,160,316,421,160,structured,251641503,0,base,83,0,37,164,118,16,16,6
board-64-keyed-true,all-labels,160,1419,1716,160,structured,251641503,0,base,417,0,38,701,120,46,20,290
board-64-keyed-true,reverse,160,1258,1516,160,structured,251641503,0,base,92,2,144,764,121,46,22,343
board-64-keyed-true,replace-subtree,160,2408,2832,160,structured,251641503,0,base,1504,6,44,603,133,46,21,389
board-256-keyed-false,one-label,160,1366,1600,160,structured,251641503,0,base,105,0,132,1076,946,24,69,7
board-256-keyed-false,all-labels,160,16954,17452,160,structured,251641503,0,base,8335,0,163,8129,1053,62,106,1311
board-256-keyed-false,reverse,160,17412,17944,160,structured,251641503,0,base,8371,43,576,8098,1034,61,110,1306
board-256-keyed-false,replace-subtree,160,24913,26086,160,structured,251641503,0,base,20897,52,172,3362,1054,60,102,2077
board-256-keyed-true,one-label,160,1082,1422,160,structured,251641503,0,base,317,0,130,586,478,24,68,7
board-256-keyed-true,all-labels,160,4978,5530,160,structured,251641503,0,base,1815,0,147,2708,491,59,92,1076
board-256-keyed-true,reverse,160,2449,2819,160,structured,251641503,0,base,359,10,280,1501,495,58,77,564
board-256-keyed-true,replace-subtree,160,24600,27177,160,structured,251641503,0,base,21746,54,173,2285,562,61,93,1542
board-16-keyed-false,one-label,160,129,214,160,structured,1359462507,0,after,6,0,7,88,62,12,4,7
board-16-keyed-false,all-labels,160,330,438,160,structured,1359462507,0,after,16,0,7,197,66,25,5,95
board-16-keyed-false,reverse,160,333,447,160,structured,1359462507,0,after,16,1,8,195,65,25,5,95
board-16-keyed-false,replace-subtree,160,447,566,160,structured,1359462507,0,after,67,2,8,242,67,25,6,137
board-16-keyed-true,one-label,160,114,160,160,structured,1359462507,0,after,20,0,7,58,32,13,4,6
board-16-keyed-true,all-labels,160,288,373,160,structured,1359462507,0,after,29,0,7,147,33,24,5,83
board-16-keyed-true,reverse,160,299,389,160,structured,1359462507,0,after,22,0,7,166,32,24,5,103
board-16-keyed-true,replace-subtree,160,371,482,160,structured,1359462507,0,after,78,2,8,172,34,24,5,107
board-64-keyed-false,one-label,160,368,491,160,structured,251641503,0,after,18,0,36,279,237,15,17,6
board-64-keyed-false,all-labels,160,1011,1240,160,structured,251641503,0,after,59,0,39,675,250,48,21,339
board-64-keyed-false,reverse,160,1032,1308,160,structured,251641503,0,after,60,4,41,680,255,49,22,342
board-64-keyed-false,replace-subtree,160,1746,2068,160,structured,251641503,0,after,546,8,45,859,260,49,25,516
board-64-keyed-true,one-label,160,311,432,160,structured,251641503,0,after,79,0,37,163,121,16,17,6
board-64-keyed-true,all-labels,160,871,1116,160,structured,251641503,0,after,116,0,39,494,126,47,20,294
board-64-keyed-true,reverse,160,918,1085,160,structured,251641503,0,after,87,2,39,549,125,47,22,344
board-64-keyed-true,replace-subtree,160,1511,1823,160,structured,251641503,0,after,599,7,43,602,133,48,22,390
board-256-keyed-false,one-label,160,1343,1552,160,structured,251641503,0,after,75,0,136,1075,969,25,69,8
board-256-keyed-false,all-labels,160,3135,3534,160,structured,251641503,0,after,238,0,140,2518,998,59,97,1302
board-256-keyed-false,reverse,160,3177,3595,160,structured,251641503,0,after,244,25,146,2518,1001,59,98,1292
board-256-keyed-false,replace-subtree,160,10782,11890,160,structured,251641503,0,after,6859,46,162,3382,1057,61,109,2112
board-256-keyed-true,one-label,160,1103,1408,160,structured,251641503,0,after,319,0,133,604,488,25,73,8
board-256-keyed-true,all-labels,160,2672,3332,160,structured,251641503,0,after,480,0,138,1789,522,60,95,1081
