changedFrames,fingerprint,iterations,medianUs,mode,p95Us,pair,phase_build,phase_coverage,phase_layout,phase_paint,phase_semanticDiff,phase_semanticEncode,phase_semanticTree,phase_semantics,scenario,surface,variant
160,251641503,160,460,one-label,622,0,306,0,0,129,0,0,0,0,board-256-keyed-true,terminal,candidate
160,251641503,160,671,all-labels,1062,0,493,0,0,142,0,0,0,0,board-256-keyed-true,terminal,candidate
160,251641503,160,583,reverse,1099,0,385,0,10,150,0,0,0,0,board-256-keyed-true,terminal,candidate
160,251641503,160,2798,replace-subtree,4720,0,2539,0,41,174,0,0,0,0,board-256-keyed-true,terminal,candidate
160,,160,572,mount-first-frame,804,1,,,,,,,,,dashboard,terminal,candidate
160,,160,196,mount-first-frame,281,1,,,,,,,,,agent,terminal,candidate
160,,160,387,mount-first-frame,568,1,,,,,,,,,files,terminal,candidate
160,,160,182,mount-first-frame,263,1,,,,,,,,,editor,terminal,candidate
160,,160,648,mount-first-frame,791,1,,,,,,,,,finance,terminal,candidate
160,1359462507,160,33,one-label,34,1,5,0,0,7,0,0,0,0,board-16-keyed-false,terminal,candidate
160,1359462507,160,41,all-labels,42,1,14,0,0,7,0,0,0,0,board-16-keyed-false,terminal,candidate
160,1359462507,160,44,reverse,45,1,15,0,1,7,0,0,0,0,board-16-keyed-false,terminal,candidate
160,1359462507,160,88,replace-subtree,112,1,45,0,1,8,0,0,0,0,board-16-keyed-false,terminal,candidate
160,1359462507,160,47,one-label,48,1,20,0,0,7,0,0,0,0,board-16-keyed-true,terminal,candidate
160,1359462507,160,56,all-labels,62,1,28,0,0,7,0,0,0,0,board-16-keyed-true,terminal,candidate
160,1359462507,160,51,reverse,55,1,22,0,0,7,0,0,0,0,board-16-keyed-true,terminal,candidate
160,1359462507,160,102,replace-subtree,130,1,59,0,1,8,0,0,0,0,board-16-keyed-true,terminal,candidate
160,251641503,160,81,one-label,92,1,18,0,0,38,0,0,0,0,board-64-keyed-false,terminal,candidate
160,251641503,160,120,all-labels,146,1,55,0,0,39,0,0,0,0,board-64-keyed-false,terminal,candidate
160,251641503,160,125,reverse,139,1,57,0,3,41,0,0,0,0,board-64-keyed-false,terminal,candidate
160,251641503,160,317,replace-subtree,452,1,245,0,5,45,0,0,0,0,board-64-keyed-false,terminal,candidate
160,251641503,160,142,one-label,163,1,80,0,0,38,0,0,0,0,board-64-keyed-true,terminal,candidate
160,251641503,160,180,all-labels,219,1,116,0,0,39,0,0,0,0,board-64-keyed-true,terminal,candidate
160,251641503,160,157,reverse,185,1,88,0,2,40,0,0,0,0,board-64-keyed-true,terminal,candidate
