case,frames,nodes,medianUs,p95Us,dart,run,variant
rows-1000-keyed-false,300,1001,28960,29759,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
rows-1000-keyed-true,300,1001,1900,2120,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
dashboard,300,145,457,584,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
agent,300,15,85,106,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
files,300,39,343,445,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
editor,300,9,59,67,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
finance,300,91,539,659,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
rows-50-keyed-false,300,51,159,185,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
rows-50-keyed-true,300,51,92,116,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
rows-200-keyed-false,300,201,1430,1568,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
rows-200-keyed-true,300,201,369,456,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
rows-1000-keyed-false,300,1001,28952,29770,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
rows-1000-keyed-true,300,1001,1914,2081,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
dashboard,300,145,455,581,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,indices
agent,300,15,94,122,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,indices
files,300,39,369,488,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,indices
editor,300,9,66,79,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,indices
finance,300,91,543,677,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,indices
rows-50-keyed-false,300,51,103,118,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,indices
rows-50-keyed-true,300,51,100,114,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,indices
rows-200-keyed-false,300,201,422,515,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,indices
rows-200-keyed-true,300,201,404,1230,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,indices
rows-1000-keyed-false,300,1001,2126,2313,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,indices
rows-1000-keyed-true,300,1001,1998,2185,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,indices
