changedFrames,fingerprint,iterations,medianUs,mode,p95Us,pair,phase_build,phase_coverage,phase_layout,phase_paint,phase_semanticDiff,phase_semanticEncode,phase_semanticTree,phase_semantics,scenario,surface,variant
160,251641503,160,467,one-label,634,0,310,0,0,131,0,0,0,0,board-256-keyed-true,terminal,removal
160,251641503,160,628,all-labels,854,0,462,0,0,139,0,0,0,0,board-256-keyed-true,terminal,removal
160,251641503,160,524,reverse,833,0,344,0,8,134,0,0,0,0,board-256-keyed-true,terminal,removal
160,251641503,160,2641,replace-subtree,3763,0,2419,0,30,160,0,0,0,0,board-256-keyed-true,terminal,removal
160,,160,519,mount-first-frame,774,1,,,,,,,,,dashboard,terminal,removal
160,,160,181,mount-first-frame,306,1,,,,,,,,,agent,terminal,removal
160,,160,377,mount-first-frame,650,1,,,,,,,,,files,terminal,removal
160,,160,176,mount-first-frame,302,1,,,,,,,,,editor,terminal,removal
160,,160,610,mount-first-frame,810,1,,,,,,,,,finance,terminal,removal
160,1359462507,160,31,one-label,37,1,5,0,0,6,0,0,0,0,board-16-keyed-false,terminal,removal
160,1359462507,160,39,all-labels,43,1,13,0,0,6,0,0,0,0,board-16-keyed-false,terminal,removal
160,1359462507,160,42,reverse,44,1,14,0,1,7,0,0,0,0,board-16-keyed-false,terminal,removal
160,1359462507,160,83,replace-subtree,118,1,43,0,1,8,0,0,0,0,board-16-keyed-false,terminal,removal
160,1359462507,160,45,one-label,56,1,19,0,0,6,0,0,0,0,board-16-keyed-true,terminal,removal
160,1359462507,160,54,all-labels,66,1,28,0,0,7,0,0,0,0,board-16-keyed-true,terminal,removal
160,1359462507,160,50,reverse,62,1,22,0,0,7,0,0,0,0,board-16-keyed-true,terminal,removal
160,1359462507,160,103,replace-subtree,130,1,60,0,1,8,0,0,0,0,board-16-keyed-true,terminal,removal
160,251641503,160,77,one-label,100,1,18,0,0,36,0,0,0,0,board-64-keyed-false,terminal,removal
160,251641503,160,114,all-labels,137,1,52,0,0,37,0,0,0,0,board-64-keyed-false,terminal,removal
160,251641503,160,120,reverse,147,1,54,0,3,38,0,0,0,0,board-64-keyed-false,terminal,removal
160,251641503,160,312,replace-subtree,505,1,240,0,5,42,0,0,0,0,board-64-keyed-false,terminal,removal
160,251641503,160,139,one-label,177,1,78,0,0,37,0,0,0,0,board-64-keyed-true,terminal,removal
160,251641503,160,170,all-labels,203,1,108,0,0,37,0,0,0,0,board-64-keyed-true,terminal,removal
160,251641503,160,149,reverse,204,1,83,0,2,38,0,0,0,0,board-64-keyed-true,terminal,removal
160,251641503,160,372,replace-subtree,578,1,298,0,5,42,0,0,0,0,board-64-keyed-true,terminal,removal
160,251641503,160,241,one-label,300,1,77,0,0,139,0,0,0,0,board-256-keyed-false,terminal,removal
160,251641503,160,363,all-labels,459,1,209,0,0,129,0,0,0,0,board-256-keyed-false,terminal,removal
160,251641503,160,412,reverse,516,1,220,0,23,134,0,0,0,0,board-256-keyed-false,terminal,removal
160,251641503,160,2259,replace-subtree,3135,1,2042,0,23,148,0,0,0,0,board-256-keyed-false,terminal,removal
160,251641503,160,462,one-label,674,1,306,0,0,127,0,0,0,0,board-256-keyed-true,terminal,removal
160,251641503,160,605,all-labels,854,1,447,0,0,130,0,0,0,0,board-256-keyed-true,terminal,removal
160,251641503,160,516,reverse,743,1,335,0,8,130,0,0,0,0,board-256-keyed-true,terminal,removal
160,251641503,160,2693,replace-subtree,3683,1,2459,0,29,157,0,0,0,0,board-256-keyed-true,terminal,removal
160,,160,496,mount-first-frame,761,1,,,,,,,,,dashboard,terminal,json
160,,160,175,mount-first-frame,251,1,,,,,,,,,agent,terminal,json
160,,160,376,mount-first-frame,616,1,,,,,,,,,files,terminal,json
160,,160,187,mount-first-frame,357,1,,,,,,,,,editor,terminal,json
160,,160,693,mount-first-frame,1315,1,,,,,,,,,finance,terminal,json
160,1359462507,160,33,one-label,49,1,6,0,0,7,0,0,0,0,board-16-keyed-false,terminal,json
160,1359462507,160,42,all-labels,44,1,14,0,0,7,0,0,0,0,board-16-keyed-false,terminal,json
160,1359462507,160,44,reverse,52,1,14,0,1,7,0,0,0,0,board-16-keyed-false,terminal,json
160,1359462507,160,102,replace-subtree,134,1,60,0,2,8,0,0,0,0,board-16-keyed-false,terminal,json
160,1359462507,160,45,one-label,52,1,19,0,0,6,0,0,0,0,board-16-keyed-true,terminal,json
160,1359462507,160,55,all-labels,72,1,28,0,0,7,0,0,0,0,board-16-keyed-true,terminal,json
160,1359462507,160,51,reverse,144,1,22,0,0,7,0,0,0,0,board-16-keyed-true,terminal,json
160,1359462507,160,121,replace-subtree,229,1,78,0,2,8,0,0,0,0,board-16-keyed-true,terminal,json
160,251641503,160,82,one-label,140,1,19,0,0,39,0,0,0,0,board-64-keyed-false,terminal,json
160,251641503,160,120,all-labels,179,1,55,0,0,39,0,0,0,0,board-64-keyed-false,terminal,json
160,251641503,160,125,reverse,231,1,56,0,3,40,0,0,0,0,board-64-keyed-false,terminal,json
160,251641503,160,589,replace-subtree,838,1,515,0,7,43,0,0,0,0,board-64-keyed-false,terminal,json
160,251641503,160,136,one-label,167,1,76,0,0,37,0,0,0,0,board-64-keyed-true,terminal,json
160,251641503,160,180,all-labels,227,1,114,0,0,40,0,0,0,0,board-64-keyed-true,terminal,json
160,251641503,160,149,reverse,198,1,82,0,2,38,0,0,0,0,board-64-keyed-true,terminal,json
160,251641503,160,652,replace-subtree,892,1,572,0,7,42,0,0,0,0,board-64-keyed-true,terminal,json
160,251641503,160,245,one-label,319,1,78,0,0,141,0,0,0,0,board-256-keyed-false,terminal,json
160,251641503,160,366,all-labels,447,1,208,0,0,132,0,0,0,0,board-256-keyed-false,terminal,json
160,251641503,160,408,reverse,532,1,215,0,23,136,0,0,0,0,board-256-keyed-false,terminal,json
160,251641503,160,7064,replace-subtree,7657,1,6806,0,42,160,0,0,0,0,board-256-keyed-false,terminal,json
160,251641503,160,468,one-label,639,1,309,0,0,130,0,0,0,0,board-256-keyed-true,terminal,json
160,251641503,160,623,all-labels,921,1,455,0,0,135,0,0,0,0,board-256-keyed-true,terminal,json
160,251641503,160,526,reverse,839,1,344,0,9,135,0,0,0,0,board-256-keyed-true,terminal,json
160,251641503,160,7480,replace-subtree,8282,1,7172,0,45,161,0,0,0,0,board-256-keyed-true,terminal,json
160,,160,494,mount-first-frame,705,2,,,,,,,,,dashboard,terminal,json
160,,160,181,mount-first-frame,255,2,,,,,,,,,agent,terminal,json
160,,160,367,mount-first-frame,540,2,,,,,,,,,files,terminal,json
160,,160,180,mount-first-frame,285,2,,,,,,,,,editor,terminal,json
160,,160,646,mount-first-frame,894,2,,,,,,,,,finance,terminal,json
160,1359462507,160,32,one-label,44,2,6,0,0,6,0,0,0,0,board-16-keyed-false,terminal,json
160,1359462507,160,40,all-labels,43,2,14,0,0,6,0,0,0,0,board-16-keyed-false,terminal,json
160,1359462507,160,42,reverse,47,2,14,0,1,7,0,0,0,0,board-16-keyed-false,terminal,json
160,1359462507,160,103,replace-subtree,128,2,61,0,1,8,0,0,0,0,board-16-keyed-false,terminal,json
160,1359462507,160,44,one-label,49,2,19,0,0,6,0,0,0,0,board-16-keyed-true,terminal,json
160,1359462507,160,55,all-labels,71,2,28,0,0,7,0,0,0,0,board-16-keyed-true,terminal,json
160,1359462507,160,49,reverse,54,2,21,0,0,7,0,0,0,0,board-16-keyed-true,terminal,json
160,1359462507,160,115,replace-subtree,154,2,74,0,1,8,0,0,0,0,board-16-keyed-true,terminal,json
160,251641503,160,79,one-label,100,2,18,0,0,37,0,0,0,0,board-64-keyed-false,terminal,json
160,251641503,160,114,all-labels,142,2,52,0,0,37,0,0,0,0,board-64-keyed-false,terminal,json
160,251641503,160,117,reverse,141,2,53,0,3,38,0,0,0,0,board-64-keyed-false,terminal,json
