case,frames,nodes,medianUs,p95Us,dart,probe,variant,run
rows-200-keyed-false,300,201,1532,2255,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,1
rows-200-keyed-true,300,201,386,551,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,1
rows-1000-keyed-false,300,1001,33371,49226,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,1
rows-1000-keyed-true,300,1001,2135,3635,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,1
dashboard,300,145,480,1594,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,2
agent,300,15,90,170,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,2
files,300,39,388,1008,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,2
editor,300,9,63,323,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,2
finance,300,91,629,1849,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,2
rows-50-keyed-false,300,51,169,453,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,2
rows-50-keyed-true,300,51,101,351,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,2
rows-200-keyed-false,300,201,2718,13864,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,2
rows-200-keyed-true,300,201,610,3371,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,2
rows-1000-keyed-false,300,1001,39529,122463,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,2
rows-1000-keyed-true,300,1001,2987,7545,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,2
dashboard,300,145,579,3744,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,2
agent,300,15,91,371,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,2
files,300,39,370,2352,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,2
editor,300,9,62,165,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,2
finance,300,91,587,1466,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,2
rows-50-keyed-false,300,51,105,351,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,2
rows-50-keyed-true,300,51,99,320,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,2
rows-200-keyed-false,300,201,429,1555,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,2
rows-200-keyed-true,300,201,420,1208,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,2
rows-1000-keyed-false,300,1001,2287,4334,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,2
rows-1000-keyed-true,300,1001,2137,4449,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,2
