scenario,mode,iterations,medianUs,p95Us,changedFrames,surface,fingerprint,pair,version,suite,args,phasesUs,app,p99Us,plans,semanticFrames,semanticBytes,nodes,changedSnapshots
board-256-keyed-true,replace-subtree,500,2690,3674,500,terminal,251641503,1,base,core,"[""500""]","{""build"":2450,""coverage"":0,""layout"":28,""paint"":155,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
dashboard,mount-first-frame,500,670,897,500,terminal,,1,candidate,core,"[""500""]",,,,,,,,
agent,mount-first-frame,500,172,233,500,terminal,,1,candidate,core,"[""500""]",,,,,,,,
files,mount-first-frame,500,388,1256,500,terminal,,1,candidate,core,"[""500""]",,,,,,,,
editor,mount-first-frame,500,178,252,500,terminal,,1,candidate,core,"[""500""]",,,,,,,,
finance,mount-first-frame,500,23703,24505,500,terminal,,1,candidate,core,"[""500""]",,,,,,,,
board-16-keyed-false,one-label,500,33,38,500,terminal,1359462507,1,candidate,core,"[""500""]","{""build"":6,""coverage"":0,""layout"":0,""paint"":7,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-16-keyed-false,all-labels,500,40,48,500,terminal,1359462507,1,candidate,core,"[""500""]","{""build"":14,""coverage"":0,""layout"":0,""paint"":7,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-16-keyed-false,reverse,500,43,46,500,terminal,1359462507,1,candidate,core,"[""500""]","{""build"":15,""coverage"":0,""layout"":1,""paint"":7,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-16-keyed-false,replace-subtree,500,81,97,500,terminal,1359462507,1,candidate,core,"[""500""]","{""build"":39,""coverage"":0,""layout"":1,""paint"":8,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-16-keyed-true,one-label,500,45,52,500,terminal,1359462507,1,candidate,core,"[""500""]","{""build"":19,""coverage"":0,""layout"":0,""paint"":6,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-16-keyed-true,all-labels,500,55,73,500,terminal,1359462507,1,candidate,core,"[""500""]","{""build"":27,""coverage"":0,""layout"":0,""paint"":7,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-16-keyed-true,reverse,500,49,67,500,terminal,1359462507,1,candidate,core,"[""500""]","{""build"":21,""coverage"":0,""layout"":0,""paint"":7,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-16-keyed-true,replace-subtree,500,95,124,500,terminal,1359462507,1,candidate,core,"[""500""]","{""build"":53,""coverage"":0,""layout"":1,""paint"":8,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-64-keyed-false,one-label,500,77,104,500,terminal,251641503,1,candidate,core,"[""500""]","{""build"":18,""coverage"":0,""layout"":0,""paint"":37,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-64-keyed-false,all-labels,500,116,145,500,terminal,251641503,1,candidate,core,"[""500""]","{""build"":53,""coverage"":0,""layout"":0,""paint"":38,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-64-keyed-false,reverse,500,123,158,500,terminal,251641503,1,candidate,core,"[""500""]","{""build"":55,""coverage"":0,""layout"":3,""paint"":39,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-64-keyed-false,replace-subtree,500,296,468,500,terminal,251641503,1,candidate,core,"[""500""]","{""build"":224,""coverage"":0,""layout"":5,""paint"":42,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-64-keyed-true,one-label,500,139,172,500,terminal,251641503,1,candidate,core,"[""500""]","{""build"":77,""coverage"":0,""layout"":0,""paint"":37,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-64-keyed-true,all-labels,500,174,228,500,terminal,251641503,1,candidate,core,"[""500""]","{""build"":111,""coverage"":0,""layout"":0,""paint"":38,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
