kind,policy,wrap,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us,dart,probe,variant,run,case,nodes
,,,,,100,,,,554,772,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,1,finance,91
,,,,,100,,,,100,149,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,1,rows-50-keyed-false,51
,,,,,100,,,,94,109,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,1,rows-50-keyed-true,51
,,,,,100,,,,397,482,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,1,rows-200-keyed-false,201
,,,,,100,,,,393,905,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,1,rows-200-keyed-true,201
,,,,,100,,,,2099,3315,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,1,rows-1000-keyed-false,1001
,,,,,100,,,,2154,3493,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,1,rows-1000-keyed-true,1001
,,,,,100,,,,468,723,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,1,dashboard,145
,,,,,100,,,,89,240,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,1,agent,15
,,,,,100,,,,362,501,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,1,files,39
,,,,,100,,,,62,105,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,1,editor,9
,,,,,100,,,,601,946,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,1,finance,91
,,,,,100,,,,168,291,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,1,rows-50-keyed-false,51
,,,,,100,,,,99,365,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,1,rows-50-keyed-true,51
,,,,,100,,,,1519,1947,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,1,rows-200-keyed-false,201
,,,,,100,,,,390,600,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,1,rows-200-keyed-true,201
,,,,,100,,,,31804,39589,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,1,rows-1000-keyed-false,1001
,,,,,100,,,,2256,3488,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,1,rows-1000-keyed-true,1001
plain,spec,True,10000,copy-all,200,0,153299790,3813876293,729,2414,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2,,
plain,spec,True,10000,copy-all,200,0,153299790,3813876293,1096,2911,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2,,
plain,spec,False,10000,open,200,200,0,1830451483,16944,22077,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2,,
plain,spec,False,10000,open,200,200,0,1830451483,12912,22885,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2,,
,,,,,100,,,,470,814,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,2,dashboard,145
,,,,,100,,,,87,176,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,2,agent,15
,,,,,100,,,,365,573,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,2,files,39
,,,,,100,,,,60,80,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,2,editor,9
,,,,,100,,,,569,1074,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,2,finance,91
,,,,,100,,,,166,231,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,2,rows-50-keyed-false,51
,,,,,100,,,,96,216,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,2,rows-50-keyed-true,51
,,,,,100,,,,1504,2309,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,2,rows-200-keyed-false,201
,,,,,100,,,,387,646,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,2,rows-200-keyed-true,201
,,,,,100,,,,32627,41581,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,2,rows-1000-keyed-false,1001
,,,,,100,,,,2052,2759,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,2,rows-1000-keyed-true,1001
,,,,,100,,,,461,765,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,2,dashboard,145
,,,,,100,,,,87,157,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,2,agent,15
,,,,,100,,,,363,759,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,2,files,39
,,,,,100,,,,62,206,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,2,editor,9
,,,,,100,,,,542,874,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,2,finance,91
,,,,,100,,,,103,262,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,2,rows-50-keyed-false,51
,,,,,100,,,,98,241,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,2,rows-50-keyed-true,51
,,,,,100,,,,404,690,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,2,rows-200-keyed-false,201
,,,,,100,,,,389,520,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,2,rows-200-keyed-true,201
,,,,,100,,,,2136,3482,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,2,rows-1000-keyed-false,1001
,,,,,100,,,,1993,2827,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,2,rows-1000-keyed-true,1001
plain,spec,True,10000,copy-all,200,0,153299790,3813876293,842,1964,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,3,,
plain,spec,True,10000,copy-all,200,0,153299790,3813876293,811,1991,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,3,,
plain,spec,False,10000,open,200,200,0,1830451483,16954,90136,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,3,,
plain,spec,False,10000,open,200,200,0,1830451483,19656,60880,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,3,,
,,,,,100,,,,483,1140,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,3,dashboard,145
,,,,,100,,,,91,209,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,3,agent,15
,,,,,100,,,,379,931,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,3,files,39
,,,,,100,,,,63,153,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,3,editor,9
,,,,,100,,,,551,1084,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,3,finance,91
,,,,,100,,,,103,137,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,3,rows-50-keyed-false,51
,,,,,100,,,,98,129,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,3,rows-50-keyed-true,51
,,,,,100,,,,410,729,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,3,rows-200-keyed-false,201
,,,,,100,,,,392,664,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,3,rows-200-keyed-true,201
,,,,,100,,,,2151,2915,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,3,rows-1000-keyed-false,1001
,,,,,100,,,,2051,2904,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,3,rows-1000-keyed-true,1001
,,,,,100,,,,466,656,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,3,dashboard,145
,,,,,100,,,,88,117,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,3,agent,15
,,,,,100,,,,347,474,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,3,files,39
,,,,,100,,,,61,74,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,3,editor,9
,,,,,100,,,,574,852,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,3,finance,91
,,,,,100,,,,165,211,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,3,rows-50-keyed-false,51
,,,,,100,,,,97,137,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,3,rows-50-keyed-true,51
,,,,,100,,,,1518,2254,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,3,rows-200-keyed-false,201
,,,,,100,,,,406,1347,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,3,rows-200-keyed-true,201
,,,,,100,,,,31674,37677,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,3,rows-1000-keyed-false,1001
,,,,,100,,,,4029,17447,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,3,rows-1000-keyed-true,1001
plain,spec,True,10000,copy-all,200,0,153299790,3813876293,979,2993,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,4,,
plain,spec,True,10000,copy-all,200,0,153299790,3813876293,866,2081,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,4,,
plain,spec,False,10000,open,200,200,0,1830451483,15679,18968,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,4,,
plain,spec,False,10000,open,200,200,0,1830451483,12758,15284,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,4,,
,,,,,100,,,,468,801,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,4,dashboard,145
,,,,,100,,,,86,155,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,4,agent,15
,,,,,100,,,,360,547,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,4,files,39
,,,,,100,,,,62,111,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,4,editor,9
,,,,,100,,,,594,1005,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,4,finance,91
,,,,,100,,,,170,376,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,4,rows-50-keyed-false,51
,,,,,100,,,,99,237,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,4,rows-50-keyed-true,51
,,,,,100,,,,1564,2115,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,4,rows-200-keyed-false,201
,,,,,100,,,,396,732,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,4,rows-200-keyed-true,201
,,,,,100,,,,30932,37763,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,4,rows-1000-keyed-false,1001
,,,,,100,,,,1999,2364,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,base,4,rows-1000-keyed-true,1001
,,,,,100,,,,476,775,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,4,dashboard,145
,,,,,100,,,,89,129,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,4,agent,15
,,,,,100,,,,368,577,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,4,files,39
,,,,,100,,,,62,138,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,4,editor,9
,,,,,100,,,,592,1093,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,4,finance,91
,,,,,100,,,,101,119,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,4,rows-50-keyed-false,51
,,,,,100,,,,99,252,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,4,rows-50-keyed-true,51
,,,,,100,,,,409,581,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,4,rows-200-keyed-false,201
,,,,,100,,,,388,573,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,4,rows-200-keyed-true,201
,,,,,100,,,,2135,2506,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,4,rows-1000-keyed-false,1001
,,,,,100,,,,1972,2354,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",semantic,after,4,rows-1000-keyed-true,1001
