kind,policy,wrap,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us,dart,run,variant
plain,spec,False,1000,edit,60,60,0,37686951,1448,1699,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,False,1000,resize,60,60,0,1830451483,108,173,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,True,10000,open,60,60,0,1830451483,27017,28972,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,multiline
plain,spec,True,10000,edit,60,60,0,37686951,27881,29240,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,multiline
plain,spec,True,10000,resize,60,60,0,1830451483,22578,25433,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,multiline
plain,spec,True,10000,open,60,60,0,1830451483,29980,51638,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,True,10000,edit,60,60,0,37686951,29988,32287,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,True,10000,resize,60,60,0,1830451483,22751,24532,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,False,10000,open,60,60,0,1830451483,12054,12507,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,multiline
plain,spec,False,10000,edit,60,60,0,37686951,12188,13298,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,multiline
plain,spec,False,10000,resize,60,60,0,1830451483,229,331,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,multiline
plain,spec,False,10000,open,60,60,0,1830451483,14673,16203,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,False,10000,edit,60,60,0,37686951,15003,16807,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,False,10000,resize,60,60,0,1830451483,341,474,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,True,1000,open,60,60,0,1830451483,3050,4285,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,True,1000,edit,60,60,0,37686951,2997,3683,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,True,1000,resize,60,60,0,1830451483,2040,2234,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,True,1000,open,60,60,0,1830451483,2704,2915,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,multiline
plain,spec,True,1000,edit,60,60,0,37686951,2738,2994,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,multiline
plain,spec,True,1000,resize,60,60,0,1830451483,2131,2388,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,multiline
plain,spec,False,1000,open,60,60,0,1830451483,1491,1605,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,False,1000,edit,60,60,0,37686951,1513,1648,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,False,1000,resize,60,60,0,1830451483,107,232,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,False,1000,open,60,60,0,1830451483,1288,1925,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,multiline
plain,spec,False,1000,edit,60,60,0,37686951,1296,1600,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,multiline
plain,spec,False,1000,resize,60,60,0,1830451483,101,277,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,multiline
plain,spec,True,10000,open,60,60,0,1830451483,29828,31748,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,True,10000,edit,60,60,0,37686951,32486,118453,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,True,10000,resize,60,60,0,1830451483,23079,34433,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,True,10000,open,60,60,0,1830451483,27757,29706,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,multiline
plain,spec,True,10000,edit,60,60,0,37686951,30020,69510,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,multiline
plain,spec,True,10000,resize,60,60,0,1830451483,35033,132709,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,multiline
plain,spec,False,10000,open,60,60,0,1830451483,19898,71991,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,False,10000,edit,60,60,0,37686951,16923,23117,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,False,10000,resize,60,60,0,1830451483,304,543,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,False,10000,open,60,60,0,1830451483,12626,17402,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,multiline
plain,spec,False,10000,edit,60,60,0,37686951,14113,20321,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,multiline
plain,spec,False,10000,resize,60,60,0,1830451483,284,523,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,multiline
