scenario,mode,iterations,medianUs,p95Us,changedFrames,pair,variant
board-64-keyed-false,all-labels,120,768,995,120,1,base
board-64-keyed-false,reverse,120,783,1208,120,1,base
board-64-keyed-false,replace-subtree,120,1377,1753,120,1,base
board-64-keyed-true,one-label,120,137,192,120,1,base
board-64-keyed-true,all-labels,120,364,531,120,1,base
board-64-keyed-true,reverse,120,147,213,120,1,base
board-64-keyed-true,replace-subtree,120,1528,1900,120,1,base
board-256-keyed-false,one-label,120,251,318,120,1,base
board-256-keyed-false,all-labels,120,5661,6318,120,1,base
board-256-keyed-false,reverse,120,5701,6132,120,1,base
board-256-keyed-false,replace-subtree,120,20997,22434,120,1,base
board-256-keyed-true,one-label,120,451,599,120,1,base
board-256-keyed-true,all-labels,120,1480,2242,120,1,base
board-256-keyed-true,reverse,120,508,924,120,1,base
board-256-keyed-true,replace-subtree,120,21473,23145,120,1,base
dashboard,mount-first-frame,120,657,856,120,2,base
agent,mount-first-frame,120,163,284,120,2,base
files,mount-first-frame,120,358,547,120,2,base
editor,mount-first-frame,120,148,264,120,2,base
finance,mount-first-frame,120,23063,24144,120,2,base
board-16-keyed-false,one-label,120,37,38,120,2,base
board-16-keyed-false,all-labels,120,158,198,120,2,base
board-16-keyed-false,reverse,120,158,193,120,2,base
board-16-keyed-false,replace-subtree,120,154,184,120,2,base
board-16-keyed-true,one-label,120,46,48,120,2,base
board-16-keyed-true,all-labels,120,104,138,120,2,base
board-16-keyed-true,reverse,120,51,54,120,2,base
board-16-keyed-true,replace-subtree,120,179,224,120,2,base
board-64-keyed-false,one-label,120,84,103,120,2,base
board-64-keyed-false,all-labels,120,754,915,120,2,base
board-64-keyed-false,reverse,120,760,956,120,2,base
board-64-keyed-false,replace-subtree,120,1428,1831,120,2,base
board-64-keyed-true,one-label,120,139,191,120,2,base
board-64-keyed-true,all-labels,120,368,518,120,2,base
board-64-keyed-true,reverse,120,146,177,120,2,base
board-64-keyed-true,replace-subtree,120,1485,1819,120,2,base
board-256-keyed-false,one-label,120,257,373,120,2,base
board-256-keyed-false,all-labels,120,5711,6186,120,2,base
board-256-keyed-false,reverse,120,5855,6248,120,2,base
board-256-keyed-false,replace-subtree,120,20902,23354,120,2,base
board-256-keyed-true,one-label,120,445,637,120,2,base
board-256-keyed-true,all-labels,120,1419,2071,120,2,base
board-256-keyed-true,reverse,120,506,856,120,2,base
board-256-keyed-true,replace-subtree,120,21292,22628,120,2,base
dashboard,mount-first-frame,120,541,861,120,2,batch
agent,mount-first-frame,120,148,287,120,2,batch
files,mount-first-frame,120,321,500,120,2,batch
editor,mount-first-frame,120,134,223,120,2,batch
finance,mount-first-frame,120,24687,37425,120,2,batch
board-16-keyed-false,one-label,120,39,42,120,2,batch
board-16-keyed-false,all-labels,120,166,333,120,2,batch
board-16-keyed-false,reverse,120,170,362,120,2,batch
board-16-keyed-false,replace-subtree,120,105,205,120,2,batch
board-16-keyed-true,one-label,120,51,54,120,2,batch
board-16-keyed-true,all-labels,120,109,191,120,2,batch
board-16-keyed-true,reverse,120,55,92,120,2,batch
board-16-keyed-true,replace-subtree,120,120,185,120,2,batch
board-64-keyed-false,one-label,120,87,127,120,2,batch
board-64-keyed-false,all-labels,120,756,1318,120,2,batch
board-64-keyed-false,reverse,120,773,1187,120,2,batch
board-64-keyed-false,replace-subtree,120,575,788,120,2,batch
board-64-keyed-true,one-label,120,135,203,120,2,batch
board-64-keyed-true,all-labels,120,369,514,120,2,batch
board-64-keyed-true,reverse,120,153,186,120,2,batch
board-64-keyed-true,replace-subtree,120,639,888,120,2,batch
board-256-keyed-false,one-label,120,254,355,120,2,batch
board-256-keyed-false,all-labels,120,5957,8361,120,2,batch
board-256-keyed-false,reverse,120,5995,8593,120,2,batch
board-256-keyed-false,replace-subtree,120,7005,8744,120,2,batch
board-256-keyed-true,one-label,120,453,626,120,2,batch
board-256-keyed-true,all-labels,120,1439,2034,120,2,batch
board-256-keyed-true,reverse,120,508,852,120,2,batch
board-256-keyed-true,replace-subtree,120,7274,8175,120,2,batch
