variant,run,kind,policy,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us
factory-after,1,rich,spec,1000,open,60,60,0,3858414627,6631,8292
factory-after,1,rich,spec,1000,rebuild-same,60,0,0,3858414627,96,100
factory-after,1,rich,spec,1000,rebuild-equal,60,0,0,3858414627,95,121
factory-after,1,rich,spec,1000,edit,60,60,0,2284405263,6719,8301
factory-after,1,rich,spec,1000,resize,60,60,0,3858414627,3278,3639
factory-after,1,rich,spec,1000,drag,60,60,0,3831988741,103,114
factory-after,1,rich,spec,1000,copy,60,0,16730,2752129767,103,115
factory-after,1,rich,spec,1000,copy-all,60,0,5109930,549569285,146,163
policy-fixed-before,1,spans,spec,1000,open,60,60,0,2232575019,7111,8096
policy-fixed-before,1,spans,spec,1000,rebuild-same,60,0,0,2232575019,128,141
policy-fixed-before,1,spans,spec,1000,rebuild-equal,60,0,0,2232575019,143,189
policy-fixed-before,1,spans,spec,1000,edit,60,60,0,4052510319,7557,8552
policy-fixed-before,1,spans,spec,1000,resize,60,60,0,2232575019,3297,3642
policy-fixed-before,1,spans,spec,1000,drag,60,60,0,2618650863,100,114
policy-fixed-before,1,spans,spec,1000,copy,60,0,16730,619799109,103,109
policy-fixed-before,1,spans,spec,1000,copy-all,60,0,5109930,1196124373,147,177
factory-after,1,spans,spec,1000,open,60,60,0,2232575019,7256,7930
factory-after,1,spans,spec,1000,rebuild-same,60,0,0,2232575019,131,148
factory-after,1,spans,spec,1000,rebuild-equal,60,0,0,2232575019,141,162
factory-after,1,spans,spec,1000,edit,60,60,0,4052510319,7447,8534
factory-after,1,spans,spec,1000,resize,60,60,0,2232575019,3316,3760
factory-after,1,spans,spec,1000,drag,60,60,0,2618650863,99,109
factory-after,1,spans,spec,1000,copy,60,0,16730,619799109,103,107
factory-after,1,spans,spec,1000,copy-all,60,0,5109930,1196124373,148,234
policy-fixed-before,1,rich,split,1000,open,60,60,0,7385663,9104,10746
policy-fixed-before,1,rich,split,1000,rebuild-same,60,0,0,7385663,102,138
policy-fixed-before,1,rich,split,1000,rebuild-equal,60,0,0,7385663,97,109
policy-fixed-before,1,rich,split,1000,edit,60,60,0,1864840635,10013,11631
policy-fixed-before,1,rich,split,1000,resize,60,60,0,7385663,3425,3672
policy-fixed-before,1,rich,split,1000,drag,60,60,0,108748043,116,131
policy-fixed-before,1,rich,split,1000,copy,60,0,16730,2682076145,162,189
policy-fixed-before,1,rich,split,1000,copy-all,60,0,5109930,437228629,297,347
factory-after,1,rich,split,1000,open,60,60,0,7385663,7959,9460
factory-after,1,rich,split,1000,rebuild-same,60,0,0,7385663,98,112
factory-after,1,rich,split,1000,rebuild-equal,60,0,0,7385663,100,139
factory-after,1,rich,split,1000,edit,60,60,0,1864840635,8328,10275
factory-after,1,rich,split,1000,resize,60,60,0,7385663,3381,3739
factory-after,1,rich,split,1000,drag,60,60,0,108748043,115,123
factory-after,1,rich,split,1000,copy,60,0,16730,2682076145,160,203
factory-after,1,rich,split,1000,copy-all,60,0,5109930,437228629,301,364
policy-fixed-before,1,spans,split,1000,open,60,60,0,4077269935,8377,10137
policy-fixed-before,1,spans,split,1000,rebuild-same,60,0,0,4077269935,136,172
policy-fixed-before,1,spans,split,1000,rebuild-equal,60,0,0,4077269935,142,150
policy-fixed-before,1,spans,split,1000,edit,60,60,0,4091075307,9401,11590
policy-fixed-before,1,spans,split,1000,resize,60,60,0,4077269935,3457,3876
policy-fixed-before,1,spans,split,1000,drag,60,60,0,3792511863,114,137
policy-fixed-before,1,spans,split,1000,copy,60,0,16730,175425013,160,180
policy-fixed-before,1,spans,split,1000,copy-all,60,0,5109930,1270670549,301,617
factory-after,1,spans,split,1000,open,60,60,0,4077269935,8624,9617
factory-after,1,spans,split,1000,rebuild-same,60,0,0,4077269935,129,136
factory-after,1,spans,split,1000,rebuild-equal,60,0,0,4077269935,139,142
factory-after,1,spans,split,1000,edit,60,60,0,4091075307,8813,10787
factory-after,1,spans,split,1000,resize,60,60,0,4077269935,3395,3796
factory-after,1,spans,split,1000,drag,60,60,0,3792511863,113,125
factory-after,1,spans,split,1000,copy,60,0,16730,175425013,158,267
factory-after,1,spans,split,1000,copy-all,60,0,5109930,1270670549,299,671
