variant,run,app,mode,buildUs,layoutUs,paintUs,layoutPerformed,layoutSkipped,repainted,cached,cellsReplayed
before,1,dashboard,idle,0,0,159,0,1,0,0,0
before,1,dashboard,leaf,0,1,158,24,21,0,0,0
before,1,dashboard,full,0,5,159,144,0,0,0,0
before,1,dashboard,relayout,0,0,158,1,1,0,0,0
before,1,agent,idle,0,0,34,0,1,0,2,304
before,1,agent,leaf,0,1,37,21,6,1,1,304
before,1,agent,full,0,2,41,67,0,2,0,304
before,1,agent,relayout,0,0,34,1,1,0,2,304
before,1,files,idle,0,0,45,0,1,0,14,352
before,1,files,leaf,0,3,46,30,21,1,13,352
before,1,files,full,0,26,63,152,0,14,0,352
before,1,files,relayout,0,0,45,1,1,0,14,352
before,1,editor,idle,0,0,34,0,1,0,0,0
before,1,editor,leaf,0,0,34,20,8,0,0,0
before,1,editor,full,0,10,34,42,0,0,0,0
before,1,editor,relayout,0,0,34,1,1,0,0,0
before,1,finance,idle,0,0,133,0,1,0,0,0
before,1,finance,leaf,0,1,134,25,19,0,0,0
before,1,finance,full,0,11,134,283,0,0,0,0
before,1,finance,relayout,0,0,133,1,1,0,0,0
before,2,dashboard,idle,0,0,155,0,1,0,0,0
before,2,dashboard,leaf,0,1,154,24,21,0,0,0
before,2,dashboard,full,0,5,154,144,0,0,0,0
before,2,dashboard,relayout,0,0,155,1,1,0,0,0
before,2,agent,idle,0,0,34,0,1,0,2,304
before,2,agent,leaf,0,1,37,21,6,1,1,304
before,2,agent,full,0,2,41,67,0,2,0,304
before,2,agent,relayout,0,0,34,1,1,0,2,304
before,2,files,idle,0,0,44,0,1,0,14,352
before,2,files,leaf,0,4,45,30,21,1,13,352
before,2,files,full,0,25,61,152,0,14,0,352
before,2,files,relayout,0,0,44,1,1,0,14,352
before,2,editor,idle,0,0,34,0,1,0,0,0
before,2,editor,leaf,0,0,34,20,8,0,0,0
before,2,editor,full,0,10,34,42,0,0,0,0
before,2,editor,relayout,0,0,34,1,1,0,0,0
before,2,finance,idle,0,0,134,0,1,0,0,0
before,2,finance,leaf,0,1,133,25,19,0,0,0
before,2,finance,full,0,11,134,283,0,0,0,0
before,2,finance,relayout,0,0,134,1,1,0,0,0
after,1,dashboard,idle,0,0,160,0,1,0,0,0
after,1,dashboard,leaf,0,2,160,24,21,0,0,0
after,1,dashboard,full,0,6,160,144,0,0,0,0
after,1,dashboard,relayout,0,0,159,1,1,0,0,0
after,1,agent,idle,0,0,35,0,1,0,2,304
after,1,agent,leaf,0,1,37,21,6,1,1,304
after,1,agent,full,0,2,41,67,0,2,0,304
after,1,agent,relayout,0,0,34,1,1,0,2,304
after,1,files,idle,0,0,45,0,1,0,14,352
after,1,files,leaf,0,3,46,30,21,1,13,352
after,1,files,full,0,26,63,152,0,14,0,352
after,1,files,relayout,0,0,45,1,1,0,14,352
after,1,editor,idle,0,0,34,0,1,0,0,0
after,1,editor,leaf,0,0,34,20,8,0,0,0
after,1,editor,full,0,10,34,42,0,0,0,0
after,1,editor,relayout,0,0,34,1,1,0,0,0
after,1,finance,idle,0,0,133,0,1,0,0,0
after,1,finance,leaf,0,1,134,25,19,0,0,0
after,1,finance,full,0,11,134,283,0,0,0,0
after,1,finance,relayout,0,0,135,1,1,0,0,0
after,2,dashboard,idle,0,0,154,0,1,0,0,0
after,2,dashboard,leaf,0,1,153,24,21,0,0,0
after,2,dashboard,full,0,5,153,144,0,0,0,0
after,2,dashboard,relayout,0,0,153,1,1,0,0,0
after,2,agent,idle,0,0,34,0,1,0,2,304
after,2,agent,leaf,0,1,37,21,6,1,1,304
after,2,agent,full,0,2,41,67,0,2,0,304
after,2,agent,relayout,0,0,34,1,1,0,2,304
after,2,files,idle,0,0,44,0,1,0,14,352
after,2,files,leaf,0,4,45,30,21,1,13,352
after,2,files,full,0,25,62,152,0,14,0,352
after,2,files,relayout,0,0,44,1,1,0,14,352
after,2,editor,idle,0,0,34,0,1,0,0,0
after,2,editor,leaf,0,0,34,20,8,0,0,0
after,2,editor,full,0,10,34,42,0,0,0,0
after,2,editor,relayout,0,0,34,1,1,0,0,0
after,2,finance,idle,0,0,133,0,1,0,0,0
after,2,finance,leaf,0,1,134,25,19,0,0,0
after,2,finance,full,0,11,134,283,0,0,0,0
after,2,finance,relayout,0,0,134,1,1,0,0,0
