stage,variant,run,kind,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us
compact,compact,1,plain,1000,resize,60,60,0,1830451483,2034,2241
compact,compact,1,plain,1000,drag,60,60,0,1797951353,108,135
compact,compact,1,plain,1000,copy,60,0,16730,4053437227,140,180
runs,compact,0,rich,1000,open,60,60,0,3858414627,11032,12440
runs,compact,0,rich,1000,rebuild-same,60,0,0,3858414627,11889,14926
runs,compact,0,rich,1000,rebuild-equal,60,0,0,3858414627,12027,14624
runs,compact,0,rich,1000,edit,60,60,0,2284405263,11957,15267
runs,compact,0,rich,1000,resize,60,60,0,3858414627,6281,7242
runs,compact,0,rich,1000,drag,60,60,0,3831988741,139,181
runs,compact,0,rich,1000,copy,60,0,16730,2752129767,180,213
runs,compact,1,rich,1000,open,60,60,0,3858414627,10641,12548
runs,compact,1,rich,1000,rebuild-same,60,0,0,3858414627,11830,14770
runs,compact,1,rich,1000,rebuild-equal,60,0,0,3858414627,11069,14971
runs,compact,1,rich,1000,edit,60,60,0,2284405263,11043,15886
runs,compact,1,rich,1000,resize,60,60,0,3858414627,6326,20777
runs,compact,1,rich,1000,drag,60,60,0,3831988741,126,146
runs,compact,1,rich,1000,copy,60,0,16730,2752129767,163,197
runs,compact,0,spans,1000,open,60,60,0,2232575019,10220,12011
runs,compact,0,spans,1000,rebuild-same,60,0,0,2232575019,11374,15101
runs,compact,0,spans,1000,rebuild-equal,60,0,0,2232575019,10754,15100
runs,compact,0,spans,1000,edit,60,60,0,4052510319,11735,15545
runs,compact,0,spans,1000,resize,60,60,0,2232575019,6121,6694
runs,compact,0,spans,1000,drag,60,60,0,2618650863,148,423
runs,compact,0,spans,1000,copy,60,0,16730,619799109,175,422
runs,compact,1,spans,1000,open,60,60,0,2232575019,10808,12685
runs,compact,1,spans,1000,rebuild-same,60,0,0,2232575019,11542,16007
runs,compact,1,spans,1000,rebuild-equal,60,0,0,2232575019,11340,15199
runs,compact,1,spans,1000,edit,60,60,0,4052510319,11588,14719
runs,compact,1,spans,1000,resize,60,60,0,2232575019,5936,6680
runs,compact,1,spans,1000,drag,60,60,0,2618650863,124,142
runs,compact,1,spans,1000,copy,60,0,16730,619799109,173,399
runs,compact,0,plain,1000,open,60,60,0,1830451483,3033,3306
runs,compact,0,plain,1000,rebuild-same,60,0,0,1830451483,78,85
runs,compact,0,plain,1000,rebuild-equal,60,0,0,1830451483,85,114
runs,compact,0,plain,1000,edit,60,60,0,37686951,2886,3156
runs,compact,0,plain,1000,resize,60,60,0,1830451483,2036,2295
runs,compact,0,plain,1000,drag,60,60,0,1797951353,108,129
runs,compact,0,plain,1000,copy,60,0,16730,4053437227,159,243
runs,compact,1,plain,1000,open,60,60,0,1830451483,2946,3304
runs,compact,1,plain,1000,rebuild-same,60,0,0,1830451483,85,98
