kind,policy,wrap,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us,dart,probe,variant,run
plain,spec,True,10000,copy,60,0,16730,1404687173,181,399,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
plain,spec,True,10000,copy-all,60,0,51099930,3813876293,1301,4434,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
plain,spec,True,10000,open,60,60,0,1830451483,37613,54935,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,True,10000,rebuild-same,60,0,0,1830451483,83,127,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,True,10000,rebuild-equal,60,0,0,1830451483,83,162,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,True,10000,edit,60,60,0,37686951,37661,64589,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,True,10000,resize,60,60,0,1830451483,33394,49247,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,True,10000,drag,60,60,0,2724726841,110,294,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,True,10000,copy,60,0,16730,1404687173,173,589,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,True,10000,copy-all,60,0,51099930,3813876293,989,3511,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,False,10000,open,60,60,0,1830451483,23612,42491,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
plain,spec,False,10000,rebuild-same,60,0,0,1830451483,128,477,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
plain,spec,False,10000,rebuild-equal,60,0,0,1830451483,251,3819,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
plain,spec,False,10000,edit,60,60,0,37686951,33171,160332,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
plain,spec,False,10000,resize,60,60,0,1830451483,7765,14082,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
plain,spec,False,10000,drag,60,60,0,2724726841,115,555,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
plain,spec,False,10000,copy,60,0,16730,1404687173,190,1168,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
plain,spec,False,10000,copy-all,60,0,51099930,3813876293,1243,6895,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,0
plain,spec,False,10000,open,60,60,0,1830451483,20327,58799,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,False,10000,rebuild-same,60,0,0,1830451483,94,311,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,False,10000,rebuild-equal,60,0,0,1830451483,87,368,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,False,10000,edit,60,60,0,37686951,15810,31921,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,False,10000,resize,60,60,0,1830451483,244,369,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,False,10000,drag,60,60,0,2724726841,108,112,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,False,10000,copy,60,0,16730,1404687173,210,1192,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,False,10000,copy-all,60,0,51099930,3813876293,1066,5768,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,0
plain,spec,True,1000,open,60,60,0,1830451483,4276,7826,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,True,1000,rebuild-same,60,0,0,1830451483,94,351,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,True,1000,rebuild-equal,60,0,0,1830451483,163,2642,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,True,1000,edit,60,60,0,37686951,4548,10783,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,True,1000,resize,60,60,0,1830451483,2922,5097,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,True,1000,drag,60,60,0,1797951353,96,211,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,True,1000,copy,60,0,16730,4053437227,120,1213,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,True,1000,copy-all,60,0,5109930,2704721301,167,705,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,True,1000,open,60,60,0,1830451483,4982,9581,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,True,1000,rebuild-same,60,0,0,1830451483,94,210,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,True,1000,rebuild-equal,60,0,0,1830451483,96,550,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,True,1000,edit,60,60,0,37686951,4792,8603,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,True,1000,resize,60,60,0,1830451483,6011,26469,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,True,1000,drag,60,60,0,1797951353,88,350,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,True,1000,copy,60,0,16730,4053437227,103,525,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,True,1000,copy-all,60,0,5109930,2704721301,179,1026,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,False,1000,open,60,60,0,1830451483,8598,54198,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,False,1000,rebuild-same,60,0,0,1830451483,99,629,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,False,1000,rebuild-equal,60,0,0,1830451483,94,525,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,False,1000,edit,60,60,0,37686951,2514,10201,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,False,1000,resize,60,60,0,1830451483,127,467,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,False,1000,drag,60,60,0,1797951353,106,504,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,False,1000,copy,60,0,16730,4053437227,106,1182,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,False,1000,copy-all,60,0,5109930,2704721301,142,1888,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
