kind,policy,wrap,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us,dart,probe,variant,run
plain,spec,True,10000,copy,60,0,16730,1404687173,159,242,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,True,10000,copy-all,60,0,51099930,3813876293,641,1951,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,True,10000,open,60,60,0,1830451483,28643,32443,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,True,10000,rebuild-same,60,0,0,1830451483,83,164,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,True,10000,rebuild-equal,60,0,0,1830451483,79,102,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,True,10000,edit,60,60,0,37686951,30900,36396,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,True,10000,resize,60,60,0,1830451483,24883,38173,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,True,10000,drag,60,60,0,2724726841,109,237,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,True,10000,copy,60,0,16730,1404687173,161,228,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,True,10000,copy-all,60,0,51099930,3813876293,658,2172,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,False,10000,open,60,60,0,1830451483,17890,27227,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,False,10000,rebuild-same,60,0,0,1830451483,91,367,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,False,10000,rebuild-equal,60,0,0,1830451483,82,169,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,False,10000,edit,60,60,0,37686951,18318,26325,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,False,10000,resize,60,60,0,1830451483,6363,15427,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,False,10000,drag,60,60,0,2724726841,111,287,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,False,10000,copy,60,0,16730,1404687173,171,384,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,False,10000,copy-all,60,0,51099930,3813876293,1028,3714,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,False,10000,open,60,60,0,1830451483,24334,57295,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,False,10000,rebuild-same,60,0,0,1830451483,111,2257,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,False,10000,rebuild-equal,60,0,0,1830451483,82,87,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,False,10000,edit,60,60,0,37686951,15778,26313,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,False,10000,resize,60,60,0,1830451483,233,363,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,False,10000,drag,60,60,0,2724726841,116,406,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,False,10000,copy,60,0,16730,1404687173,169,488,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,False,10000,copy-all,60,0,51099930,3813876293,802,3132,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
