scenario,mode,iterations,medianUs,p95Us,changedFrames,surface,fingerprint,pair,variant,phase_buildUs,phase_layoutUs,phase_paintUs,phase_semanticsUs,phase_semanticTreeUs,phase_coverageUs,phase_semanticDiffUs,phase_semanticEncodeUs
board-16-keyed-false,all-labels,120,311,407,120,structured,1359462507,1,coalesced,14,0,6,187,62,24,5,90
board-16-keyed-false,reverse,120,313,423,120,structured,1359462507,1,coalesced,15,1,6,186,62,24,5,90
board-16-keyed-false,replace-subtree,120,446,571,120,structured,1359462507,1,coalesced,63,2,6,236,64,24,5,134
board-16-keyed-true,one-label,120,113,161,120,structured,1359462507,1,coalesced,20,0,6,58,32,13,4,6
board-16-keyed-true,all-labels,120,282,526,120,structured,1359462507,1,coalesced,29,0,6,143,32,25,5,80
board-16-keyed-true,reverse,120,302,478,120,structured,1359462507,1,coalesced,22,0,6,166,32,24,5,102
board-16-keyed-true,replace-subtree,120,362,541,120,structured,1359462507,1,coalesced,76,2,6,169,33,24,5,105
board-64-keyed-false,one-label,120,368,556,120,structured,251641503,1,coalesced,18,0,33,279,236,15,17,7
board-64-keyed-false,all-labels,120,996,1292,120,structured,251641503,1,coalesced,58,0,34,667,246,47,21,342
board-64-keyed-false,reverse,120,1018,1549,120,structured,251641503,1,coalesced,59,4,34,676,251,48,21,341
board-64-keyed-false,replace-subtree,120,1741,2308,120,structured,251641503,1,coalesced,544,8,38,876,260,50,24,509
board-64-keyed-true,one-label,120,306,451,120,structured,251641503,1,coalesced,79,0,33,160,119,15,17,6
board-64-keyed-true,all-labels,120,862,1057,120,structured,251641503,1,coalesced,115,0,33,483,124,46,20,287
board-64-keyed-true,reverse,120,954,1350,120,structured,251641503,1,coalesced,96,3,37,569,128,48,24,356
board-64-keyed-true,replace-subtree,120,1485,1833,120,structured,251641503,1,coalesced,600,7,37,598,132,47,23,390
board-256-keyed-false,one-label,120,1403,1875,120,structured,251641503,1,coalesced,83,0,120,1136,1018,26,71,10
board-256-keyed-false,all-labels,120,3199,3944,120,structured,251641503,1,coalesced,245,0,117,2535,1022,60,95,1326
board-256-keyed-false,reverse,120,3228,3745,120,structured,251641503,1,coalesced,245,25,118,2569,1017,60,97,1344
board-256-keyed-false,replace-subtree,120,10974,12070,120,structured,251641503,1,coalesced,6988,49,142,3507,1103,63,109,2161
board-256-keyed-true,one-label,120,1056,1432,120,structured,251641503,1,coalesced,316,0,113,586,479,26,73,7
board-256-keyed-true,all-labels,120,2705,3243,120,structured,251641503,1,coalesced,502,0,120,1799,516,60,93,1087
board-256-keyed-true,reverse,120,1976,2509,120,structured,251641503,1,coalesced,361,10,119,1218,483,59,82,570
board-256-keyed-true,replace-subtree,120,10025,11297,120,structured,251641503,1,coalesced,7199,51,140,2310,555,60,108,1546
board-16-keyed-false,one-label,120,152,266,120,structured,1359462507,1,after,18,0,6,99,63,13,5,7
board-16-keyed-false,all-labels,120,661,784,120,structured,1359462507,1,after,204,0,6,316,62,24,5,91
board-16-keyed-false,reverse,120,725,946,120,structured,1359462507,1,after,206,1,54,322,62,25,6,94
board-16-keyed-false,replace-subtree,120,439,591,120,structured,1359462507,1,after,64,2,6,239,65,25,6,134
board-16-keyed-true,one-label,120,113,144,120,structured,1359462507,1,after,24,0,6,57,30,12,4,6
board-16-keyed-true,all-labels,120,409,553,120,structured,1359462507,1,after,105,0,6,196,31,24,5,80
board-16-keyed-true,reverse,120,378,531,120,structured,1359462507,1,after,27,0,32,216,31,24,5,101
board-16-keyed-true,replace-subtree,120,366,486,120,structured,1359462507,1,after,75,2,6,171,33,24,5,105
board-64-keyed-false,one-label,120,389,536,120,structured,251641503,1,after,34,0,32,288,235,16,17,7
board-64-keyed-false,all-labels,120,2910,3455,120,structured,251641503,1,after,1112,0,41,1429,252,71,24,347
board-64-keyed-false,reverse,120,2900,3317,120,structured,251641503,1,after,1084,5,90,1388,248,73,24,349
board-64-keyed-false,replace-subtree,120,1686,2044,120,structured,251641503,1,after,518,7,36,855,256,72,24,503
board-64-keyed-true,one-label,120,310,447,120,structured,251641503,1,after,82,0,33,164,118,17,17,6
board-64-keyed-true,all-labels,120,1430,1659,120,structured,251641503,1,after,427,0,34,714,122,48,21,293
board-64-keyed-true,reverse,120,1262,1454,120,structured,251641503,1,after,97,2,142,769,122,47,23,346
board-64-keyed-true,replace-subtree,120,1465,1840,120,structured,251641503,1,after,573,7,37,593,131,47,22,386
board-256-keyed-false,one-label,120,1368,1633,120,structured,251641503,1,after,106,0,113,1099,965,28,71,8
board-256-keyed-false,all-labels,120,16999,18790,120,structured,251641503,1,after,8439,0,136,8126,1016,64,106,1324
board-256-keyed-false,reverse,120,17745,19352,120,structured,251641503,1,after,8545,37,568,8264,1025,65,110,1349
board-256-keyed-false,replace-subtree,120,10732,12226,120,structured,251641503,1,after,6790,47,136,3407,1056,62,108,2132
board-256-keyed-true,one-label,120,1083,1411,120,structured,251641503,1,after,323,0,112,586,474,26,73,7
board-256-keyed-true,all-labels,120,4912,5571,120,structured,251641503,1,after,1790,0,119,2650,487,60,93,1066
board-256-keyed-true,reverse,120,2366,2829,120,structured,251641503,1,after,366,9,251,1474,482,57,80,558
board-256-keyed-true,replace-subtree,120,10111,11022,120,structured,251641503,1,after,7172,47,138,2345,553,62,110,1560
board-16-keyed-false,one-label,120,150,299,120,structured,1359462507,2,after,18,0,6,97,61,13,4,7
board-16-keyed-false,all-labels,120,727,903,120,structured,1359462507,2,after,214,0,7,353,65,25,6,98
board-16-keyed-false,reverse,120,791,971,120,structured,1359462507,2,after,218,2,57,347,65,26,7,98
