kind,policy,wrap,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us,dart,run,variant
plain,spec,True,10000,copy-all,50,0,43799940,3813876293,573,1334,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,True,10000,open,50,50,0,1830451483,28293,29866,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,10000,rebuild-same,50,0,0,1830451483,80,105,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,10000,rebuild-equal,50,0,0,1830451483,76,79,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,10000,edit,50,50,0,37686951,29782,31464,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,10000,resize,50,50,0,1830451483,21315,23128,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,10000,drag,50,50,0,2724726841,101,109,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,10000,copy,50,0,14340,1404687173,155,191,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,10000,copy-all,50,0,43799940,3813876293,591,1758,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,False,10000,open,50,50,0,1830451483,14340,16113,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,False,10000,rebuild-same,50,0,0,1830451483,79,97,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,False,10000,rebuild-equal,50,0,0,1830451483,79,97,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,False,10000,edit,50,50,0,37686951,14491,15833,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,False,10000,resize,50,50,0,1830451483,3542,4180,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,False,10000,drag,50,50,0,2724726841,100,105,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,False,10000,copy,50,0,14340,1404687173,152,171,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,False,10000,copy-all,50,0,43799940,3813876293,622,1409,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,base
plain,spec,False,10000,open,50,50,0,1830451483,14330,18328,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,False,10000,rebuild-same,50,0,0,1830451483,79,84,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,False,10000,rebuild-equal,50,0,0,1830451483,76,80,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,False,10000,edit,50,50,0,37686951,14504,15799,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,False,10000,resize,50,50,0,1830451483,283,384,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,False,10000,drag,50,50,0,2724726841,101,110,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,False,10000,copy,50,0,14340,1404687173,155,187,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,False,10000,copy-all,50,0,43799940,3813876293,591,1482,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",0,equal
plain,spec,True,1000,open,50,50,0,1830451483,2842,3134,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,True,1000,rebuild-same,50,0,0,1830451483,76,91,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,True,1000,rebuild-equal,50,0,0,1830451483,77,85,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,True,1000,edit,50,50,0,37686951,2779,2957,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,True,1000,resize,50,50,0,1830451483,1998,2239,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,True,1000,drag,50,50,0,1797951353,77,78,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,True,1000,copy,50,0,14340,4053437227,82,96,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,True,1000,copy-all,50,0,4379940,2704721301,116,129,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,True,1000,open,50,50,0,1830451483,2829,3255,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,True,1000,rebuild-same,50,0,0,1830451483,76,85,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,True,1000,rebuild-equal,50,0,0,1830451483,77,88,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,True,1000,edit,50,50,0,37686951,2780,3024,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,True,1000,resize,50,50,0,1830451483,2293,2514,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,True,1000,drag,50,50,0,1797951353,77,101,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,True,1000,copy,50,0,14340,4053437227,84,88,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,True,1000,copy-all,50,0,4379940,2704721301,119,165,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,False,1000,open,50,50,0,1830451483,1426,1543,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,False,1000,rebuild-same,50,0,0,1830451483,76,78,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
