variant,run,kind,policy,wrap,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us,dart
after,0,spans,split,True,1000,copy-all,60,0,5109930,1270670549,303,382,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,split,True,1000,open,60,60,0,4077269935,8705,9558,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,split,True,1000,rebuild-same,60,0,0,4077269935,132,148,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,split,True,1000,rebuild-equal,60,0,0,4077269935,142,150,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,split,True,1000,edit,60,60,0,4091075307,8736,10222,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,split,True,1000,resize,60,60,0,4077269935,3440,3838,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,split,True,1000,drag,60,60,0,3792511863,115,130,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,split,True,1000,copy,60,0,16730,175425013,156,214,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,split,True,1000,copy-all,60,0,5109930,1270670549,298,343,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,plain,spec,True,1000,open,60,60,0,1830451483,3023,3419,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,plain,spec,True,1000,rebuild-same,60,0,0,1830451483,82,97,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,plain,spec,True,1000,rebuild-equal,60,0,0,1830451483,81,93,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,plain,spec,True,1000,edit,60,60,0,37686951,2927,3147,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,plain,spec,True,1000,resize,60,60,0,1830451483,2055,2426,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,plain,spec,True,1000,drag,60,60,0,1797951353,105,111,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,plain,spec,True,1000,copy,60,0,16730,4053437227,137,144,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,plain,spec,True,1000,copy-all,60,0,5109930,2704721301,149,171,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,plain,spec,True,1000,open,60,60,0,1830451483,2840,3171,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,plain,spec,True,1000,rebuild-same,60,0,0,1830451483,77,97,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,plain,spec,True,1000,rebuild-equal,60,0,0,1830451483,77,83,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,plain,spec,True,1000,edit,60,60,0,37686951,2785,2974,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,plain,spec,True,1000,resize,60,60,0,1830451483,1968,2200,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,plain,spec,True,1000,drag,60,60,0,1797951353,103,110,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,plain,spec,True,1000,copy,60,0,16730,4053437227,138,183,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,plain,spec,True,1000,copy-all,60,0,5109930,2704721301,141,169,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,plain,spec,True,10000,open,30,30,0,1830451483,29588,31085,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,plain,spec,True,10000,rebuild-same,30,0,0,1830451483,78,99,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,plain,spec,True,10000,rebuild-equal,30,0,0,1830451483,80,104,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,plain,spec,True,10000,edit,30,30,0,37686951,30622,32443,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,plain,spec,True,10000,resize,30,30,0,1830451483,22298,25547,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,plain,spec,True,10000,drag,30,30,0,2724726841,370,530,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,plain,spec,True,10000,copy,30,0,9560,1404687173,845,1972,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,plain,spec,True,10000,copy-all,30,0,29199960,3813876293,845,1715,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,plain,spec,True,10000,open,30,30,0,1830451483,27671,29842,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,plain,spec,True,10000,rebuild-same,30,0,0,1830451483,76,80,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,plain,spec,True,10000,rebuild-equal,30,0,0,1830451483,78,79,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,plain,spec,True,10000,edit,30,30,0,37686951,28688,30327,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,plain,spec,True,10000,resize,30,30,0,1830451483,20416,22489,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,plain,spec,True,10000,drag,30,30,0,2724726841,349,372,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,plain,spec,True,10000,copy,30,0,9560,1404687173,816,1677,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,plain,spec,True,10000,copy-all,30,0,29199960,3813876293,797,1733,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,plain,spec,True,50,open,60,60,0,1830451483,233,436,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,plain,spec,True,50,rebuild-same,60,0,0,1830451483,90,135,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,plain,spec,True,50,rebuild-equal,60,0,0,1830451483,83,94,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,plain,spec,True,50,edit,60,60,0,37686951,234,374,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,plain,spec,True,50,resize,60,60,0,1830451483,165,224,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,plain,spec,True,50,drag,60,60,0,1913672663,82,111,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,plain,spec,True,50,copy,60,0,16730,1228072455,83,104,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,plain,spec,True,50,copy-all,60,0,255430,2897693547,87,125,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,plain,spec,True,50,open,60,60,0,1830451483,233,367,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,plain,spec,True,50,rebuild-same,60,0,0,1830451483,86,95,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,plain,spec,True,50,rebuild-equal,60,0,0,1830451483,80,98,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,plain,spec,True,50,edit,60,60,0,37686951,220,267,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,plain,spec,True,50,resize,60,60,0,1830451483,164,184,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,plain,spec,True,50,drag,60,60,0,1913672663,77,85,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,plain,spec,True,50,copy,60,0,16730,1228072455,81,90,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,plain,spec,True,50,copy-all,60,0,255430,2897693547,87,98,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,spec,True,1000,open,60,60,0,3858414627,11834,16363,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,spec,True,1000,rebuild-same,60,0,0,3858414627,12967,18533,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,spec,True,1000,rebuild-equal,60,0,0,3858414627,12666,19148,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,spec,True,1000,edit,60,60,0,2284405263,13341,18274,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,spec,True,1000,resize,60,60,0,3858414627,5840,6446,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,spec,True,1000,drag,60,60,0,3831988741,126,167,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,spec,True,1000,copy,60,0,16730,2752129767,159,214,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,spec,True,1000,copy-all,60,0,5109930,549569285,181,223,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,spec,True,1000,open,60,60,0,3858414627,11487,14745,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,spec,True,1000,rebuild-same,60,0,0,3858414627,12604,16467,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,spec,True,1000,rebuild-equal,60,0,0,3858414627,12301,17320,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,spec,True,1000,edit,60,60,0,2284405263,12330,17095,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,spec,True,1000,resize,60,60,0,3858414627,5633,6125,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,spec,True,1000,drag,60,60,0,3831988741,122,125,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,spec,True,1000,copy,60,0,16730,2752129767,157,206,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,spec,True,1000,copy-all,60,0,5109930,549569285,170,178,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,spec,True,10000,open,30,30,0,3858414627,136399,151841,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,spec,True,10000,rebuild-same,30,0,0,3858414627,204089,231926,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,spec,True,10000,rebuild-equal,30,0,0,3858414627,226538,277409,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,spec,True,10000,edit,30,30,0,2284405263,226788,272577,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,spec,True,10000,resize,30,30,0,3858414627,100144,120602,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,spec,True,10000,drag,30,30,0,2060027205,377,587,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,spec,True,10000,copy,30,0,9560,2685947361,1187,7001,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,spec,True,10000,copy-all,30,0,29199960,1844308149,933,1212,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,spec,True,10000,open,30,30,0,3858414627,122970,125030,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,spec,True,10000,rebuild-same,30,0,0,3858414627,179734,204904,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,spec,True,10000,rebuild-equal,30,0,0,3858414627,200872,207415,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,spec,True,10000,edit,30,30,0,2284405263,196688,221555,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,spec,True,10000,resize,30,30,0,3858414627,106478,112593,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,spec,True,10000,drag,30,30,0,2060027205,424,774,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,spec,True,10000,copy,30,0,9560,2685947361,920,2653,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,spec,True,10000,copy-all,30,0,29199960,1844308149,956,2324,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,spec,True,50,open,60,60,0,3858414627,573,721,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,spec,True,50,rebuild-same,60,0,0,3858414627,491,734,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,spec,True,50,rebuild-equal,60,0,0,3858414627,533,646,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,spec,True,50,edit,60,60,0,2284405263,496,576,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,spec,True,50,resize,60,60,0,3858414627,365,490,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,spec,True,50,drag,60,60,0,2239105707,101,152,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,spec,True,50,copy,60,0,16730,675705227,105,131,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,spec,True,50,copy-all,60,0,255430,1863551171,115,138,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,spec,True,50,open,60,60,0,3858414627,545,687,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,spec,True,50,rebuild-same,60,0,0,3858414627,483,767,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,spec,True,50,rebuild-equal,60,0,0,3858414627,521,628,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,spec,True,50,edit,60,60,0,2284405263,478,578,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,spec,True,50,resize,60,60,0,3858414627,355,413,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,spec,True,50,drag,60,60,0,2239105707,97,119,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,spec,True,50,copy,60,0,16730,675705227,102,107,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,spec,True,50,copy-all,60,0,255430,1863551171,110,132,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,split,True,1000,open,60,60,0,7385663,12853,15787,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,split,True,1000,rebuild-same,60,0,0,7385663,13927,19105,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,split,True,1000,rebuild-equal,60,0,0,7385663,14033,18611,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,split,True,1000,edit,60,60,0,1864840635,13972,19660,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,split,True,1000,resize,60,60,0,7385663,5760,6330,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,split,True,1000,drag,60,60,0,108748043,141,202,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,split,True,1000,copy,60,0,16520,2682076145,179,203,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,rich,split,True,1000,copy-all,60,0,5040000,437228629,331,376,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,split,True,1000,open,60,60,0,7385663,12333,14746,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,split,True,1000,rebuild-same,60,0,0,7385663,13355,19249,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,split,True,1000,rebuild-equal,60,0,0,7385663,13354,17083,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,split,True,1000,edit,60,60,0,1864840635,13663,18988,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,split,True,1000,resize,60,60,0,7385663,5729,6261,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,split,True,1000,drag,60,60,0,108748043,139,152,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,split,True,1000,copy,60,0,16520,2682076145,178,198,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,rich,split,True,1000,copy-all,60,0,5040000,437228629,319,389,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,spec,True,1000,open,60,60,0,2232575019,11945,14794,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,spec,True,1000,rebuild-same,60,0,0,2232575019,12718,18347,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,spec,True,1000,rebuild-equal,60,0,0,2232575019,13123,18727,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,spec,True,1000,edit,60,60,0,4052510319,13559,20242,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,spec,True,1000,resize,60,60,0,2232575019,6051,7218,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,spec,True,1000,drag,60,60,0,2618650863,129,142,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,spec,True,1000,copy,60,0,16730,619799109,161,166,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,spec,True,1000,copy-all,60,0,5109930,1196124373,175,261,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,spans,spec,True,1000,open,60,60,0,2232575019,10899,14195,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,spans,spec,True,1000,rebuild-same,60,0,0,2232575019,11994,17230,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,spans,spec,True,1000,rebuild-equal,60,0,0,2232575019,12301,17652,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,spans,spec,True,1000,edit,60,60,0,4052510319,12059,16237,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,spans,spec,True,1000,resize,60,60,0,2232575019,5588,6137,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,spans,spec,True,1000,drag,60,60,0,2618650863,123,126,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,spans,spec,True,1000,copy,60,0,16730,619799109,162,446,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,spans,spec,True,1000,copy-all,60,0,5109930,1196124373,173,193,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,spec,True,10000,open,30,30,0,2232575019,138316,159720,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,spec,True,10000,rebuild-same,30,0,0,2232575019,177273,205228,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,spec,True,10000,rebuild-equal,30,0,0,2232575019,201311,228635,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,spec,True,10000,edit,30,30,0,4052510319,208115,242274,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,spec,True,10000,resize,30,30,0,2232575019,72845,90970,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,spec,True,10000,drag,30,30,0,4249474571,387,701,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,spec,True,10000,copy,30,0,9560,1111127019,837,1512,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,spec,True,10000,copy-all,30,0,29199960,2264602581,909,1269,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,spans,spec,True,10000,open,30,30,0,2232575019,143319,150476,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,spans,spec,True,10000,rebuild-same,30,0,0,2232575019,181037,214830,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,spans,spec,True,10000,rebuild-equal,30,0,0,2232575019,183935,220891,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,spans,spec,True,10000,edit,30,30,0,4052510319,184035,223743,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,spans,spec,True,10000,resize,30,30,0,2232575019,85062,96309,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,spans,spec,True,10000,drag,30,30,0,4249474571,370,394,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,spans,spec,True,10000,copy,30,0,9560,1111127019,1062,3320,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,spans,spec,True,10000,copy-all,30,0,29199960,2264602581,958,3085,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,spec,True,50,open,60,60,0,2232575019,500,712,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,spec,True,50,rebuild-same,60,0,0,2232575019,494,720,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,spec,True,50,rebuild-equal,60,0,0,2232575019,536,735,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,spec,True,50,edit,60,60,0,4052510319,477,577,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,spec,True,50,resize,60,60,0,2232575019,356,439,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,spec,True,50,drag,60,60,0,3912241799,99,107,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,spec,True,50,copy,60,0,16730,3317457143,102,150,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,spec,True,50,copy-all,60,0,255430,4119145319,115,136,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,spans,spec,True,50,open,60,60,0,2232575019,490,734,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,spans,spec,True,50,rebuild-same,60,0,0,2232575019,537,824,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,spans,spec,True,50,rebuild-equal,60,0,0,2232575019,540,680,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,spans,spec,True,50,edit,60,60,0,4052510319,479,555,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,spans,spec,True,50,resize,60,60,0,2232575019,355,427,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,spans,spec,True,50,drag,60,60,0,3912241799,98,134,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,spans,spec,True,50,copy,60,0,16730,3317457143,101,109,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,1,spans,spec,True,50,copy-all,60,0,255430,4119145319,115,136,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,split,True,1000,open,60,60,0,4077269935,12906,14300,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,split,True,1000,rebuild-same,60,0,0,4077269935,13792,17811,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
base,0,spans,split,True,1000,rebuild-equal,60,0,0,4077269935,14001,20010,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
