variant,run,kind,policy,wrap,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us,dart
after,0,plain,spec,True,50,copy,60,0,16730,1228072455,78,94,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,plain,spec,True,50,copy-all,60,0,255430,2897693547,84,123,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,plain,spec,True,50,open,60,60,0,1830451483,232,385,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,plain,spec,True,50,rebuild-same,60,0,0,1830451483,87,101,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,plain,spec,True,50,rebuild-equal,60,0,0,1830451483,79,103,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,plain,spec,True,50,edit,60,60,0,37686951,225,338,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,plain,spec,True,50,resize,60,60,0,1830451483,172,215,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,plain,spec,True,50,drag,60,60,0,1913672663,77,90,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,plain,spec,True,50,copy,60,0,16730,1228072455,77,81,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,plain,spec,True,50,copy-all,60,0,255430,2897693547,83,137,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,spec,True,1000,open,60,60,0,3858414627,7174,9588,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,spec,True,1000,rebuild-same,60,0,0,3858414627,102,142,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,spec,True,1000,rebuild-equal,60,0,0,3858414627,98,123,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,spec,True,1000,edit,60,60,0,2284405263,6994,9281,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,spec,True,1000,resize,60,60,0,3858414627,3447,3774,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,spec,True,1000,drag,60,60,0,3831988741,105,260,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,spec,True,1000,copy,60,0,16730,2752129767,106,126,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,spec,True,1000,copy-all,60,0,5109930,549569285,147,171,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,spec,True,1000,open,60,60,0,3858414627,6668,8200,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,spec,True,1000,rebuild-same,60,0,0,3858414627,97,106,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,spec,True,1000,rebuild-equal,60,0,0,3858414627,97,119,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
